rank,player,position,age,team,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
1,Precious Achiuwa,C-PF,24,TOT,49,10,1058,5.6,11.3,0.498,0.7,2.5,0.274,4.9,8.8,0.562,1.5,2.4,0.62,4.4,6.3,10.7,2.3,1.1,1.3,1.8,3.1,13.4
2,Bam Adebayo,C,26,MIA,46,46,1592,8,15.7,0.512,0,0.2,0.091,8,15.4,0.519,5,6.5,0.78,2.4,8.6,11,4.3,1.1,1,2.5,2.6,21.1
3,Ochai Agbaji,SG,23,TOT,56,10,1076,3.9,9.2,0.425,1.7,5.3,0.331,2.2,3.9,0.551,0.6,0.8,0.739,1.3,3.2,4.5,1.7,1,1,1.4,2.4,10.1
4,Santi Aldama,PF,23,MEM,45,19,1115,5.7,13.3,0.428,2.4,7.1,0.341,3.3,6.2,0.529,1.2,2,0.597,1.6,6.4,8.1,3.2,0.9,1,1.5,2.1,15
5,Nickeil Alexander-Walker,SG,25,MIN,56,16,1283,4,9.3,0.432,2.3,6.1,0.384,1.7,3.3,0.521,0.8,1.1,0.763,0.6,2.4,3,4,1.3,0.8,1.5,2.9,11.2
6,Grayson Allen,SG,28,PHO,51,51,1684,4.6,9.1,0.509,2.7,5.6,0.485,1.9,3.5,0.549,1.9,2.2,0.883,0.7,3.6,4.4,3.5,0.9,0.7,1.4,2.4,14
7,Jarrett Allen,C,25,CLE,50,50,1543,7.6,11.7,0.644,0,0.1,0,7.6,11.6,0.651,3.3,4.5,0.734,4,8.3,12.3,3.1,0.9,1.3,2.1,2.6,18.4
8,Jose Alvarado,PG,25,NOP,39,0,654,5.4,13,0.414,2.7,7.5,0.358,2.7,5.5,0.49,1.5,2.2,0.675,0.9,3.8,4.7,4.2,2.4,0.8,1.6,3.1,15
9,Kyle Anderson,PF,30,MIN,56,2,1230,3.9,8.3,0.472,0.2,0.9,0.219,3.7,7.3,0.504,2,2.9,0.7,1.3,4.4,5.7,6.7,1.3,0.8,2.1,2.5,10
10,Giannis Antetokounmpo,PF,29,MIL,55,55,1929,11.9,19.2,0.617,0.5,1.8,0.263,11.4,17.4,0.652,7.5,11.4,0.654,2.6,8.9,11.6,6.6,1.4,1.1,3.6,3.1,31.6
11,Thanasis Antetokounmpo,PF,31,MIL,23,0,106,3.7,7.1,0.524,0,0.3,0,3.7,6.8,0.55,0,0,NA,1.7,1.4,3.1,4.1,1,1.4,3.4,6.8,7.5
12,Cole Anthony,PG,23,ORL,55,0,1260,6.4,14.7,0.437,1.7,5,0.33,4.8,9.7,0.493,4.2,5,0.839,1.4,4.9,6.3,4.9,1.3,0.7,2.7,3.9,18.7
13,OG Anunoby,SF,26,TOT,41,41,1400,6.1,12.3,0.498,2.2,5.8,0.379,3.9,6.5,0.606,1.7,2.2,0.774,1,3.4,4.4,2.4,1.4,0.7,1.6,2.5,16.1
14,Ryan Arcidiacono,PG,29,NYK,20,0,45,0,4.8,0,0,4.8,0,0,0,NA,0,0,NA,0,6.4,6.4,3.2,1.6,0,1.6,4,0
15,Deni Avdija,SF,23,WAS,55,55,1548,6.4,12.6,0.513,1.5,3.6,0.404,5,8.9,0.557,3,4.1,0.74,1.3,7,8.3,4.8,1,0.6,2.6,3.2,17.4
16,Deandre Ayton,C,25,POR,38,38,1207,7.4,13.1,0.564,0,0,NA,7.4,13.1,0.564,1.1,1.4,0.809,3.4,8.3,11.8,1.9,1.2,0.9,1.9,2.6,15.9
17,Udoka Azubuike,C,24,PHO,14,0,107,5.4,7.4,0.727,0,0,NA,5.4,7.4,0.727,1,3.7,0.273,3.7,7.1,10.8,1,0.3,2,1.3,5.7,11.8
18,Ibou Badji,C,21,POR,17,1,199,2.2,3.4,0.632,0,0,NA,2.2,3.4,0.632,0.9,1.8,0.5,3.4,5.2,8.7,2.4,0.4,3.6,2.5,7.2,5.2
19,Marvin Bagley III,C,24,TOT,39,17,781,8.2,14.2,0.573,0.1,0.6,0.231,8,13.6,0.588,3.8,5.1,0.755,4.8,5.8,10.6,2.1,0.7,1.1,2.2,3.2,20.3
20,Amari Bailey,PG,19,CHO,3,0,15,4.8,16.8,0.286,0,7.2,0,4.8,9.6,0.5,2.4,4.8,0.5,4.8,0,4.8,2.4,0,0,2.4,0,12
21,Patrick Baldwin Jr.,SF,21,WAS,19,0,143,4.3,11.3,0.378,2.8,6.5,0.423,1.5,4.8,0.316,2,3,0.667,1.8,8.3,10.1,1.8,0.5,1,1.5,5.3,13.3
22,LaMelo Ball,PG,22,CHO,22,22,711,9.3,21.4,0.433,3.5,10,0.355,5.7,11.4,0.5,4.6,5.3,0.865,1.5,4.3,5.7,8.9,2,0.2,4.2,4,26.6
23,Mo Bamba,C,25,PHI,34,0,359,5.2,10.9,0.477,1.2,2.9,0.414,4,8,0.5,1.7,2.9,0.586,4.5,7.9,12.4,2.3,1.2,3.4,2.4,4.9,13.3
24,Paolo Banchero,PF,21,ORL,56,56,1957,8.4,18.2,0.459,1.6,4.4,0.367,6.8,13.9,0.487,5.2,7.3,0.704,1.2,5.9,7,5.4,1.1,0.5,3.1,2.1,23.5
25,Desmond Bane,SG,25,MEM,37,37,1277,9.3,19.6,0.474,3.5,9,0.384,5.8,10.6,0.551,3.4,3.9,0.864,1,3.8,4.8,5.5,1.1,0.6,2.8,3,25.5
26,Dalano Banton,PG,24,TOT,28,1,260,4.7,11.9,0.395,0.7,3.6,0.192,4,8.3,0.483,4,5.4,0.744,1.8,4.6,6.4,3.9,1.1,0.4,2.4,3.3,14.1
27,Dominick Barlow,PF,20,SAS,23,1,307,4.7,9.9,0.476,0.4,0.8,0.429,4.3,9,0.481,2.6,4,0.647,3.9,6,9.9,3,1.1,1.4,0.6,3.9,12.3
28,Harrison Barnes,PF,31,SAC,55,55,1629,5.1,10.5,0.482,2.3,5.8,0.395,2.8,4.7,0.589,2.2,2.7,0.815,1,2.6,3.6,1.4,0.9,0.2,0.8,1.6,14.7
29,Scottie Barnes,SG,22,TOR,57,57,2002,7.7,16.1,0.476,1.8,5.1,0.35,5.9,11,0.534,3.4,4.4,0.782,2.4,6,8.4,6.1,1.3,1.5,2.8,2,20.5
30,RJ Barrett,SG,23,TOT,46,46,1435,8,17,0.473,1.8,5.1,0.346,6.2,11.8,0.529,4.1,5.6,0.74,1.1,5.1,6.2,3.4,0.6,0.4,2.2,2.5,22
31,Charles Bassey,C,23,SAS,19,0,205,5.1,7,0.725,0,0.2,0,5.1,6.8,0.744,0.9,1.1,0.833,4,9.3,13.3,3.7,1.4,3,2.6,5.4,11.1
32,Emoni Bates,SF,20,CLE,10,0,76,2.8,11.8,0.24,2.4,9.5,0.25,0.5,2.4,0.2,0.5,0.9,0.5,0.5,4.3,4.7,2.8,0.5,0.9,0.5,2.4,8.5
33,Keita Bates-Diop,SF,28,TOT,42,8,617,4,9,0.439,1.2,3.8,0.323,2.7,5.3,0.522,1.5,2.1,0.722,1.8,4.3,6,2,1.3,1.2,0.8,1.9,10.7
34,Nicolas Batum,PF,35,TOT,36,28,864,2.9,5.6,0.519,1.8,4,0.454,1.1,1.6,0.684,0.4,0.6,0.643,1.7,3.8,5.6,3.3,1,1,0.9,3,8
35,Darius Bazley,PF,23,PHI,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,36,0,0
36,Bradley Beal,SG,30,PHO,30,30,979,7.9,15.9,0.495,1.8,5,0.363,6.1,10.9,0.556,2.5,3.3,0.775,0.9,3.8,4.7,5,1,0.3,2.7,2.9,20.1
37,Malik Beasley,SG,27,MIL,55,55,1627,5,10.8,0.467,3.5,8,0.444,1.5,2.8,0.532,0.4,0.6,0.64,0.8,3.9,4.7,1.7,1,0.1,0.8,2.5,13.9
38,MarJon Beauchamp,SF,23,MIL,40,1,567,4.5,9.5,0.477,1.7,4.4,0.391,2.8,5.1,0.55,1.2,1.8,0.679,1.4,4.4,5.8,1.8,0.8,0.4,1.7,3.2,11.9
39,Jules Bernard,SG,24,WAS,6,0,28,3.9,15.4,0.25,1.3,10.3,0.125,2.6,5.1,0.5,0,0,NA,2.6,3.9,6.4,6.4,1.3,1.3,2.6,5.1,9
40,Dāvis Bertāns,PF,31,TOT,19,0,134,4.8,11.8,0.409,4.8,11.3,0.429,0,0.5,0,3.8,4,0.933,0.5,3,3.5,3,1.3,0.8,0.3,4,18.3
41,Patrick Beverley,PG,35,TOT,52,5,993,4,9.5,0.425,1.4,4.3,0.328,2.6,5.1,0.507,1.9,2.4,0.8,1.2,4.4,5.7,5.7,1,0.7,2,3.4,11.3
42,Saddiq Bey,SF,24,ATL,55,43,1791,5.1,12.1,0.422,2,6.3,0.322,3.1,5.8,0.529,2.9,3.5,0.831,3,4.3,7.3,1.6,0.9,0.2,0.9,1.6,15.1
43,Goga Bitadze,C,24,ORL,46,31,836,4.8,7.8,0.619,0.1,0.4,0.2,4.7,7.4,0.643,2,3.1,0.662,4.2,6.8,10.9,2.9,1.2,2.7,1.4,4.1,11.8
44,Onuralp Bitim,SG,24,CHI,2,0,6,0,12,0,0,6,0,0,6,0,0,0,NA,0,0,0,0,0,0,0,0,0
45,Bismack Biyombo,C,31,TOT,31,27,726,3.3,5.9,0.563,0,0,NA,3.3,5.9,0.563,1.1,2.3,0.478,2.8,6.7,9.5,2.5,0.5,1.7,1.9,4.1,7.7
46,Anthony Black,PG,20,ORL,51,30,930,3.6,7.4,0.484,1,2.6,0.373,2.6,4.8,0.545,1.7,2.5,0.662,1,3.2,4.3,3.1,1,0.7,1.7,3.8,9.8
47,Leaky Black,SF,24,CHO,22,3,218,2.8,6.4,0.436,1.2,2.5,0.467,1.7,4,0.417,1.5,2.3,0.643,1.3,5,6.3,3,0.8,1,0.8,2.5,8.3
48,Bogdan Bogdanović,SG,31,ATL,54,8,1563,7.5,17.5,0.429,3.9,10.5,0.37,3.6,7,0.516,2.1,2.3,0.911,0.7,3.3,4.1,3.5,1.6,0.3,1.5,2.9,21
49,Bojan Bogdanović,PF-SF,34,TOT,31,27,1001,7.8,16.6,0.471,3.4,8.1,0.424,4.4,8.5,0.515,3,4,0.757,0.5,3.2,3.7,2.6,1,0.2,2.3,2.3,22
50,Bol Bol,PF,24,PHO,19,0,184,8.2,12.3,0.667,1.2,2.9,0.4,7,9.4,0.75,1.2,1.6,0.75,3.5,8.6,12.1,1.8,1,2.3,2,4.1,18.8
51,Marques Bolden,C,25,MIL,2,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,24,24,0,0,0,0,12,0
52,Devin Booker,PG,27,PHO,47,47,1672,9.7,19.6,0.497,2.2,5.8,0.373,7.6,13.7,0.55,6.3,7.2,0.874,0.7,4,4.7,7,0.9,0.4,2.6,3,27.9
53,Brandon Boston Jr.,SF,22,LAC,17,0,123,7,17.6,0.4,1.8,5.9,0.3,5.3,11.7,0.45,3.2,3.5,0.917,2,2.3,4.4,1.5,0.6,0.6,2,4.7,19
54,Chris Boucher,PF,31,TOR,47,0,645,5.6,11.4,0.49,1.6,5,0.322,4,6.4,0.623,3.6,4.7,0.753,3.1,7.4,10.5,1.1,0.8,1.2,1.2,3.5,16.4
55,James Bouknight,SG,23,CHO,14,0,81,8,18.2,0.439,5.8,13.3,0.433,2.2,4.9,0.455,0.4,0.9,0.5,0.4,3.6,4,2.7,0.4,0.4,0.9,1.3,22.2
56,Jamaree Bouyea,PG,24,POR,6,0,57,3.2,13.3,0.238,0,5.1,0,3.2,8.2,0.385,0,0,NA,1.3,5.1,6.3,5.1,0,0,5.1,1.9,6.3
57,Malaki Branham,PG,20,SAS,52,21,1047,5.9,13.9,0.424,1.8,5.6,0.321,4.1,8.3,0.494,1,1.1,0.938,0.7,2.9,3.5,3.9,0.7,0.2,2,2.1,14.6
58,Christian Braun,SG,22,DEN,57,0,1089,4.8,10.8,0.439,1.2,3.4,0.356,3.5,7.4,0.478,2.4,3.4,0.716,1.6,5.1,6.7,2.7,0.8,0.7,1.3,2.9,13.2
59,Mikal Bridges,SF,27,BRK,55,55,1935,7.8,17.2,0.452,2.6,7.1,0.372,5.2,10.1,0.508,3.9,4.7,0.827,0.8,4.1,4.9,3.7,1,0.4,2.3,1.6,22.2
60,Miles Bridges,SF,25,CHO,45,43,1674,8,17.1,0.464,2.4,6.4,0.378,5.5,10.8,0.515,2.6,3,0.85,0.9,6.2,7.1,3.3,1,0.5,1.9,1.8,20.9
61,Oshae Brissett,SF,25,BOS,37,0,401,4.1,9,0.46,1.1,3.7,0.293,3.1,5.3,0.576,3.1,4.7,0.673,3.2,5.9,9.2,2.6,1.3,0.2,1,3.3,12.5
62,Malcolm Brogdon,PG,31,POR,39,25,1121,7,15.9,0.44,2.6,6.4,0.412,4.4,9.5,0.458,3.1,3.7,0.819,0.9,3.9,4.8,6.9,0.9,0.3,1.9,1.9,19.7
63,Armoni Brooks,PG,25,BRK,10,0,104,5.2,15.9,0.326,3.8,11.1,0.344,1.4,4.8,0.286,0.3,0.7,0.5,2.4,3.8,6.2,1.7,0.3,0.3,1,1,14.5
64,Dillon Brooks,SF,28,HOU,47,47,1467,5.7,12.8,0.443,2.3,5.8,0.394,3.4,7,0.484,2.3,2.7,0.847,0.9,3.1,4,1.9,1.1,0.1,1.6,4.2,15.9
65,Bruce Brown,SG-PG,27,TOT,49,38,1402,5.4,11.4,0.471,1.1,3.4,0.316,4.3,8,0.537,2.3,2.7,0.857,1,4.6,5.6,3.5,1.2,0.4,1.4,2.9,14.1
66,Charlie Brown Jr.,SG,26,NYK,6,0,33,2.2,9.8,0.222,2.2,6.5,0.333,0,3.3,0,0,0,NA,1.1,1.1,2.2,0,0,2.2,2.2,5.5,6.5
67,Greg Brown III,PF,22,DAL,6,0,40,4.5,9.9,0.455,0.9,2.7,0.333,3.6,7.2,0.5,3.6,8.1,0.444,2.7,5.4,8.1,3.6,0,3.6,3.6,4.5,13.5
68,Jaylen Brown,SF,27,BOS,51,51,1703,9.2,18.5,0.494,2.1,6.1,0.346,7,12.4,0.566,3.3,4.5,0.716,1.2,4.7,5.9,4.1,1.2,0.6,2.7,2.9,23.7
69,Kendall Brown,SG,20,IND,5,0,20,5.4,10.8,0.5,0,1.8,0,5.4,9,0.6,7.2,10.8,0.667,3.6,0,3.6,3.6,0,0,0,7.2,18
70,Kobe Brown,PF,24,LAC,32,0,279,3,8,0.371,1.5,5,0.308,1.4,3,0.478,0.1,0.3,0.5,1.3,4.4,5.7,2.2,0.8,0.4,0.9,5.2,7.6
71,Moses Brown,C,24,POR,9,4,82,4,9.2,0.429,0,0,NA,4,9.2,0.429,0,1.8,0,7.9,12.3,20.2,0.9,0.9,1.3,1.8,4.8,7.9
72,Troy Brown Jr.,SF,24,TOT,41,3,471,4.6,10.5,0.435,2.7,7.3,0.365,1.9,3.2,0.595,1.6,1.8,0.875,1.1,5.4,6.5,3.1,0.7,0.2,1.5,2.3,13.5
73,Jalen Brunson,PG,27,NYK,53,53,1904,9.8,20.4,0.479,2.6,6.5,0.406,7.1,13.9,0.513,5.4,6.4,0.84,0.6,3.2,3.8,6.6,0.9,0.2,2.5,2,27.5
74,Thomas Bryant,C,26,MIA,25,3,259,6.1,10.7,0.571,0,0.6,0,6.1,10.1,0.603,2.5,3.1,0.818,3.5,7.2,10.7,2.1,0.8,0.7,2.1,3.6,14.7
75,Kobe Bufkin,SG,20,ATL,5,0,25,4.3,14.4,0.3,2.9,10.1,0.286,1.4,4.3,0.333,1.4,2.9,0.5,2.9,5.8,8.6,1.4,0,0,1.4,1.4,13
76,Reggie Bullock,SF,32,HOU,23,0,216,3.5,8.3,0.42,2.7,6.5,0.41,0.8,1.8,0.455,0.2,0.2,1,0.5,5,5.5,1.7,0.7,0.3,0.8,2,9.8
77,Alec Burks,SG,32,TOT,47,1,983,6.4,16.4,0.39,4,9.9,0.401,2.5,6.6,0.372,4.7,5.3,0.89,0.7,3.6,4.3,2.6,0.8,0.4,1.4,2.5,21.5
78,Jared Butler,SG,23,WAS,19,0,140,7.7,13.6,0.566,2.6,6.2,0.417,5.1,7.5,0.69,3.1,3.9,0.8,0,3.1,3.1,8.2,2.1,0.5,2.8,3.9,21.1
79,Jimmy Butler,PF,34,MIA,38,38,1281,7.2,14.3,0.502,1.1,2.4,0.447,6.1,11.9,0.513,7.5,8.7,0.861,2.2,3.8,5.9,4.9,1.5,0.3,1.9,1.1,22.9
80,Jamal Cain,PF,24,MIA,16,1,225,4.6,11,0.42,1.3,4.2,0.308,3.4,6.9,0.488,2.9,3.7,0.783,2.1,3,5.1,0.6,1.6,0.6,0.8,2.7,13.4
81,Kentavious Caldwell-Pope,SG,30,DEN,52,52,1644,3.9,8.8,0.436,1.6,4.3,0.372,2.3,4.6,0.495,1.9,2.1,0.915,0.5,2.2,2.7,2.6,1.5,0.5,1.1,2.1,11.2
82,Toumani Camara,PF,23,POR,54,34,1277,4,9.2,0.436,1.1,3.7,0.305,2.9,5.5,0.523,1.6,2.1,0.724,2.8,4.5,7.3,1.6,1.5,0.7,1.8,3.8,10.7
83,Clint Capela,C,29,ATL,48,48,1228,6.7,11.7,0.571,0,0,NA,6.7,11.7,0.571,2.6,4,0.652,6.7,8.1,14.7,1.4,0.8,2.1,1.2,3.4,15.9
84,Jevon Carter,PG,28,CHI,53,0,722,5.1,13.8,0.372,3,8.9,0.335,2.1,4.9,0.439,0.1,0.2,0.6,0.2,1.7,2,3.1,1.3,0.6,1.4,2.8,13.4
85,Wendell Carter Jr.,C,24,ORL,30,24,783,5.8,10.7,0.541,1.6,3.9,0.412,4.2,6.8,0.615,2.6,3.5,0.727,2.3,6.4,8.7,2.2,0.6,0.6,1.6,3.3,15.8
86,D.J. Carton,SG,23,TOR,1,0,4,9,9,1,0,0,NA,9,9,1,9,9,1,0,9,9,0,0,0,0,18,27
87,Alex Caruso,SG,29,CHI,48,35,1303,4.6,9.5,0.484,2.3,5.7,0.403,2.3,3.8,0.606,1.6,2,0.781,1.3,3.8,5,3.8,1.8,1.5,1.9,3.4,13
88,Colin Castleton,C,23,LAL,7,0,36,7,10,0.7,0,0,NA,7,10,0.7,4,4,1,4,5,9,3,0,0,1,7,18
89,Malcolm Cazalon,SG,22,DET,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
90,Julian Champagnie,SF,22,SAS,50,35,836,4.1,10.3,0.402,2.7,7.4,0.368,1.4,2.9,0.485,1.7,2.1,0.796,1.2,4.2,5.4,2.5,1.2,1.1,1.3,2.3,12.7
91,Justin Champagnie,SF,22,WAS,2,0,10,18,25.2,0.714,3.6,10.8,0.333,14.4,14.4,1,0,0,NA,0,0,0,0,3.6,0,3.6,0,39.6
92,Max Christie,SG,20,LAL,45,7,782,3.8,8.9,0.423,1.5,4.4,0.347,2.3,4.6,0.495,1.5,1.9,0.78,0.6,4.9,5.4,2.3,0.8,0.7,1.4,2.4,10.5
93,Sidy Cissoko,SF,19,SAS,5,0,32,1.1,6.8,0.167,0,4.5,0,1.1,2.3,0.5,4.5,4.5,1,0,6.8,6.8,0,3.4,0,1.1,2.3,6.8
94,Jordan Clarkson,SG,31,UTA,47,19,1421,7.3,17.6,0.414,2,6.7,0.294,5.3,10.8,0.488,4,4.5,0.877,1.1,3,4.1,5.8,0.7,0.2,3.3,1.7,20.5
95,Nic Claxton,C,24,BRK,45,45,1326,6.5,10.3,0.625,0,0.1,0.25,6.4,10.2,0.629,1.8,3.1,0.57,3.5,8.9,12.4,2.3,0.8,2.7,1.4,3.1,14.7
96,Noah Clowney,PF,19,BRK,7,0,69,5.7,9.4,0.611,0.5,2.1,0.25,5.2,7.3,0.714,3.1,3.1,1,3.1,3.7,6.8,3.1,0,0.5,1.6,2.6,15.1
97,Amir Coffey,SF,26,LAC,43,8,789,4.3,8,0.54,1.7,4,0.425,2.6,4.1,0.652,1.9,2.1,0.894,0.7,2.6,3.3,1.6,1,0.3,0.8,2.6,12.3
98,John Collins,PF,26,UTA,53,51,1478,7.3,14,0.521,1.5,4.4,0.337,5.8,9.6,0.606,2.3,3,0.78,3,7.8,10.9,1.5,0.7,1.1,1.8,3.6,18.4
99,Zach Collins,C,26,SAS,45,24,1073,6.6,13.8,0.478,1.3,4.6,0.277,5.3,9.2,0.579,2.7,3.5,0.777,2.6,5.5,8.2,4.6,0.8,1,3,4.8,17.1
100,Mike Conley,PG,36,MIN,51,51,1474,4.4,9.9,0.445,2.8,6.4,0.443,1.6,3.5,0.448,1.5,1.6,0.923,0.5,3.1,3.6,7.9,1.3,0.3,1.4,2.1,13.1
101,Pat Connaughton,SF,31,MIL,51,2,1086,3.2,6.9,0.459,1.9,4.9,0.388,1.3,2.1,0.629,0.7,1,0.69,1.1,4.5,5.6,3.2,0.9,0.4,1.1,2.1,8.9
102,Bilal Coulibaly,SF,19,WAS,55,7,1488,4,9,0.441,1.3,3.7,0.357,2.6,5.3,0.5,1.8,2.6,0.685,1.2,4.2,5.4,2.3,1.2,1,1.9,2.8,11.1
103,Ricky Council IV,SG,22,PHI,16,0,149,7,15,0.468,1,3.9,0.25,6,11.1,0.543,8.7,11.6,0.75,2.7,5.1,7.7,1.2,0.5,0,0.5,1.9,23.7
104,Robert Covington,SF-PF,33,TOT,29,6,488,3.2,7.2,0.439,1.4,4.1,0.339,1.8,3.1,0.571,1.6,1.9,0.846,2.3,4.9,7.2,1.8,2.9,1.3,0.8,4.1,9.4
105,Torrey Craig,SF,33,CHI,33,8,694,3.7,8.7,0.425,1.9,5.1,0.374,1.8,3.5,0.5,1.1,1.4,0.778,2.9,5.2,8.1,1.9,1,0.8,1,3.9,10.4
106,Jae Crowder,PF,33,MIL,26,10,652,3.5,8.1,0.432,1.9,5.2,0.358,1.6,2.8,0.569,0.9,1.3,0.667,0.6,4.3,4.9,2.2,1.2,0.3,0.8,2.4,9.7
107,Cade Cunningham,PG,22,DET,45,45,1526,8.8,19.6,0.451,1.9,5.5,0.339,7,14.1,0.494,4,4.6,0.857,0.4,3.9,4.3,7.9,1,0.4,3.8,2.9,23.5
